lat,lng,streetName
43.6443239,-79.39943360000001,King St W
43.6440475,-79.39636630000001,Wellington St W
43.64556169999999,-79.3902683,Mercer St
43.6451488,-79.3980353,Brant St
43.6436035,-79.39440539999998,Spadina Ave
43.64643119999999,-79.40174480000002,Richmond St W
43.6449095,-79.39181869999999,Blue Jays Way
43.64574289999999,-79.40179719999998,Adelaide St W
43.64445389999999,-79.3949308,Spadina Ave
43.6454593,-79.40194859999997,Adelaide St W
43.6439796,-79.38982010000001,Front St W
43.6463853,-79.39561879999997,Spadina Ave
43.64445389999999,-79.3949308,Spadina Ave
43.6443521,-79.39620530000002,Wellington St W
43.6439355,-79.3942743,Spadina Ave
43.6446402,-79.3932747,Clarence Square
43.6463133,-79.39269560000002,Peter St
43.6449717,-79.39123789999996,Wellington St W
43.6446249,-79.3951973,Spadina Ave
43.64667499999999,-79.39090099999999,Widmer St
43.64643119999999,-79.40174480000002,Richmond St W
43.6438338,-79.39665159999998,Wellington St W
43.6444204,-79.39974310000002,King St W
43.6451952,-79.3906811,Wellington St W
43.6453748,-79.3913311,Mercer St
43.6438459,-79.39182399999999,Blue Jays Way
43.64643119999999,-79.40174480000002,Richmond St W
43.6449607,-79.39001659999997,Wellington St W
43.64533290000001,-79.39225399999998,Blue Jays Way
43.6451109,-79.3953411,King St W
43.6464556,-79.3898226,John St
43.6457568,-79.39549520000003,Spadina Ave
43.64518220000001,-79.39569010000002,King St W
43.64556169999999,-79.3902683,Mercer St
43.6438016,-79.40048230000002,Stewart St
43.6437777,-79.39783749999998,Wellington St W
43.64384039999999,-79.4019912,King St W
43.6464505,-79.39175940000001,King St W
43.6442659,-79.39441440000002,Spadina Ave
43.6455711,-79.3958427,King St W
43.6446757,-79.3932772,Clarence Square
43.6468305,-79.39366910000001,Adelaide St W
43.646774,-79.39276189999998,Peter St
43.64468369999999,-79.39052830000003,Windsor St
43.64537079999999,-79.39801090000003,Brant St
43.6449607,-79.39001659999997,Wellington St W
43.6450312,-79.39510489999998,Spadina Ave
43.64484239999999,-79.39339910000001,Clarence Square
43.6465113,-79.395598,Spadina Ave
43.6450168,-79.40180129999999,Adelaide Pl
43.6463654,-79.40231219999998,Richmond St W
43.6454059,-79.39141919999997,Mercer St
43.6466591,-79.39215690000003,Peter St
43.6464292,-79.40075079999997,Portland St
43.6464505,-79.39175940000001,King St W
43.6446021,-79.3981751,King St W
43.6460716,-79.40043059999999,Portland St
43.6451886,-79.3997412,King St W
43.6438342,-79.39664949999997,Wellington St W
43.6455868,-79.3995018,Adelaide St W
43.6440187,-79.39430949999996,Spadina Ave
43.6465466,-79.39720119999998,Adelaide St W
43.6464914,-79.39507100000003,Spadina Ave
43.6444959,-79.40005869999999,Portland St
43.6448667,-79.39326679999999,Clarence Square
43.6463603,-79.396254,Adelaide St W
43.6450251,-79.39225160000001,Blue Jays Way
43.64536409999999,-79.40071769999997,Portland St
43.6450676,-79.39086370000001,Wellington St W
43.6440475,-79.39636630000001,Wellington St W
43.6464649,-79.39499089999998,Spadina Ave
43.64396,-79.39021029999998,Front St W
43.6437691,-79.4021138,King St W
43.64387869999999,-79.3907671,Front St W
43.6451854,-79.39838020000002,King St W
43.6455762,-79.4025024,Adelaide St W
43.6461216,-79.39343980000001,King St W
43.6441593,-79.3902678,Windsor St
43.643581,-79.39385290000001,Clarence Square
43.6454659,-79.40191600000003,Adelaide St W
43.6456489,-79.39344949999997,King St W
43.6439518,-79.3945445,Spadina Ave
43.6436548,-79.40231389999997,Bathurst St
43.6464649,-79.39499089999998,Spadina Ave
43.6457568,-79.39549520000003,Spadina Ave
43.6459114,-79.392225,Blue Jays Way
43.6435532,-79.40280819999998,Bathurst St
43.6438952,-79.3929554,Clarence Square
43.6443818,-79.39975959999998,King St W
43.6439095,-79.39998550000001,Stewart St
43.6460915,-79.39489420000001,Spadina Ave
43.6448707,-79.40099279999998,King St W
43.6463185,-79.39886380000002,Adelaide St W
43.6453391,-79.3944065,Spadina Ave
43.644488,-79.40238019999998,Bathurst St
43.643581,-79.39385290000001,Clarence Square
43.6448252,-79.39492239999998,Spadina Ave
43.6465379,-79.3973274,Adelaide St W
43.643487,-79.39350960000002,Spadina Ave
43.6440342,-79.39431609999997,Spadina Ave
43.6464505,-79.39175940000001,King St W
43.643807,-79.39142070000003,Blue Jays Way
43.64445389999999,-79.3949308,Spadina Ave
43.645521,-79.3985141,Morrison St
43.6441879,-79.39550789999998,Wellington St W
43.6443723,-79.39953209999999,King St W
43.6455735,-79.39899149999997,Morrison St
43.6438,-79.39421930000003,Spadina Ave
43.6460984,-79.39774060000002,Adelaide St W
43.6453141,-79.39752140000002,Brant St
43.64444599999999,-79.39366259999997,Clarence Square
43.6459553,-79.39366339999998,Charlotte St
43.6457306,-79.39822579999998,Brant St
43.64506069999999,-79.39422719999999,Spadina Ave
43.64556169999999,-79.3902683,Mercer St
43.6448667,-79.39326679999999,Clarence Square
43.6453748,-79.3913311,Mercer St
43.64557689999999,-79.39435839999999,King St W
43.6445371,-79.40083679999998,Waterloo Terrace
43.6460212,-79.3980828,Brant St
43.6448685,-79.39657,King St W
43.6454458,-79.39235880000001,Blue Jays Way
43.6447662,-79.3921899,Wellington St W
43.64420339999999,-79.3951902,Wellington St W
43.643581,-79.39385290000001,Clarence Square
43.6447544,-79.3943185,Spadina Ave
43.6434953,-79.39497649999998,Wellington St W
43.6451854,-79.39838020000002,King St W
43.6463372,-79.3898552,King St W
43.6441148,-79.39300409999998,Clarence Square
43.6455013,-79.3909453,Mercer St
43.6454916,-79.39588530000003,King St W
43.6450672,-79.39639799999998,King St W
43.6450312,-79.39510489999998,Spadina Ave
43.6464505,-79.39175940000001,King St W
43.6447662,-79.3921899,Wellington St W
43.6452912,-79.3967609,King St W
43.643567,-79.40103199999999,Stewart St
43.64451090000001,-79.39313979999997,Clarence Square
43.64393339999999,-79.39427339999997,Spadina Ave
43.6455762,-79.4025024,Adelaide St W
43.64537079999999,-79.39801090000003,Brant St
43.64674189999999,-79.39460159999999,Adelaide St W
43.6436378,-79.3910816,Front St W
43.6452578,-79.40053309999996,Portland St
43.645048,-79.40142639999999,Adelaide Pl
43.64387199999999,-79.40012309999997,Portland St
43.6456042,-79.392969,King St W
43.6455955,-79.40238039999997,Adelaide St W
43.6453849,-79.3965326,King St W
43.6452295,-79.394068,King St W
43.64556169999999,-79.3902683,Mercer St
43.6438637,-79.39705029999999,Wellington St W
43.6445329,-79.39171650000003,Blue Jays Way
43.6454695,-79.39507500000002,King St W
43.644829,-79.39677699999999,King St W
43.6455868,-79.3995018,Adelaide St W
43.6457703,-79.3932087,King St W
43.645381,-79.3942298,King St W
43.645521,-79.3985141,Morrison St
43.6443751,-79.39935349999996,King St W
43.6450676,-79.39086370000001,Wellington St W
43.6452221,-79.40005880000001,Portland St
43.6455735,-79.39899149999997,Morrison St
43.6449936,-79.3933917,Clarence Square
43.6435167,-79.4020625,Stewart St
43.644288,-79.40261750000002,Bathurst St
43.6452089,-79.39039259999998,Wellington St W
43.6435886,-79.39854209999999,Wellington St W
43.64615610000001,-79.39717840000003,Adelaide St W
43.6448667,-79.39326679999999,Clarence Square
43.6458924,-79.39768620000001,Brant St
43.6438454,-79.4023616,King St W
43.6463659,-79.39027269999997,King St W
43.6452175,-79.3903525,Wellington St W
43.6461163,-79.39079670000001,King St W
43.6464505,-79.39175940000001,King St W
43.6455955,-79.40238039999997,Adelaide St W
43.6464092,-79.393887,Charlotte St
43.64468369999999,-79.39052830000003,Windsor St
43.64667499999999,-79.39090099999999,Widmer St
43.6456989,-79.39721029999998,Brant St
43.6465537,-79.394184,Oxley St
43.6462878,-79.40055330000001,Portland St
43.64502419999999,-79.39579859999998,King St W
43.6446981,-79.3961875,King St W
43.6456042,-79.392969,King St W
43.6452578,-79.3901659,Wellington St W
43.6459808,-79.39937929999996,Adelaide St W
43.6452514,-79.39222130000002,Blue Jays Way
43.6439061,-79.39788429999999,Wellington St W
43.6436378,-79.3910816,Front St W
43.6447004,-79.39094949999998,Wellington St W
43.6457318,-79.38988269999999,Mercer St
43.6453186,-79.40033879999999,Portland St
43.6463654,-79.40231219999998,Richmond St W
43.6452295,-79.394068,King St W
43.6458617,-79.39392699999996,King St W
43.64387869999999,-79.3907671,Front St W
43.64586569999999,-79.39053939999997,Mercer St
43.6466724,-79.40223739999999,Richmond St W
43.6439061,-79.39788429999999,Wellington St W
43.6439518,-79.3945445,Spadina Ave
43.6441735,-79.39014800000001,Windsor St
43.6445122,-79.4003621,King St W
43.6462007,-79.39565099999999,Spadina Ave
43.644571,-79.3938746,Clarence Square
43.6456989,-79.39721029999998,Brant St
43.6448492,-79.4026652,Bathurst St
43.6443521,-79.39620530000002,Wellington St W
43.6463654,-79.40231219999998,Richmond St W
43.6466395,-79.39257309999999,Peter St
43.6463654,-79.40231219999998,Richmond St W
43.64546250000001,-79.3953305,Spadina Ave
43.6441197,-79.39588329999998,Wellington St W
43.6440287,-79.40287280000001,Bathurst St
43.6443117,-79.40137949999996,King St W
43.6438465,-79.39136029999997,Blue Jays Way
43.6443056,-79.3999159,King St W
43.6434672,-79.3948775,Wellington St W
43.6447358,-79.39236140000003,Wellington St W
43.6458325,-79.40261599999997,Adelaide St W
43.6456333,-79.39354329999998,King St W
43.6445422,-79.39172009999999,Blue Jays Way
43.6448287,-79.39207110000001,Blue Jays Way
43.6446139,-79.39011729999999,Wellington St W
43.6447004,-79.39094949999998,Wellington St W
43.6464275,-79.39994030000003,Maud St
43.6450547,-79.39209040000003,Blue Jays Way
43.6458835,-79.39578189999997,Spadina Ave
43.6465413,-79.39753200000001,Adelaide St W
43.64444599999999,-79.39366259999997,Clarence Square
43.6452754,-79.39020289999996,Wellington St W
43.6438678,-79.401859,King St W
43.6460514,-79.39572750000002,Spadina Ave
43.64496620000001,-79.39675139999997,King St W
43.6442605,-79.39153099999999,Blue Jays Way
43.6463568,-79.39003609999997,King St W
43.6454459,-79.40142960000003,Adelaide St W
43.6448492,-79.4026652,Bathurst St
43.645495,-79.39332030000003,King St W
43.64643119999999,-79.40174480000002,Richmond St W
43.6457318,-79.38988269999999,Mercer St
43.646719,-79.3895789,John St
43.64641470000001,-79.3964532,Adelaide St W
43.6446726,-79.39805100000001,King St W
43.64654729999999,-79.39600139999999,Adelaide St W
43.6439061,-79.39788429999999,Wellington St W
43.64536409999999,-79.40071769999997,Portland St
43.6451886,-79.3997412,King St W
43.6460212,-79.3980828,Brant St
43.6434672,-79.3948775,Wellington St W
43.6451886,-79.3997412,King St W
43.644829,-79.39677699999999,King St W
43.6441487,-79.3953262,Wellington St W
43.6451886,-79.3997412,King St W
43.6447574,-79.3971517,King St W
43.6451011,-79.39949690000003,King St W
43.6448667,-79.39326679999999,Clarence Square
43.6439341,-79.3929387,Clarence Square
43.645521,-79.3985141,Morrison St
43.6461163,-79.39079670000001,King St W
43.6458886,-79.40017519999998,Adelaide St W
43.6455735,-79.39899149999997,Morrison St
43.6455955,-79.40238039999997,Adelaide St W
43.6447961,-79.39372650000001,Clarence Square
43.6446572,-79.40241100000003,Browns Ln
43.6464505,-79.39175940000001,King St W
43.6456544,-79.3985998,Morrison St
43.64556169999999,-79.3902683,Mercer St
43.6442448,-79.40228460000003,King St W
43.6456086,-79.39568070000001,King St W
43.64445389999999,-79.3949308,Spadina Ave
43.6465569,-79.38974759999996,John St
43.643581,-79.39385290000001,Clarence Square
43.6458027,-79.39875180000001,Morrison St
43.6454336,-79.39876400000003,Morrison St
43.6458325,-79.40261599999997,Adelaide St W
43.6450547,-79.39209040000003,Blue Jays Way
43.6464556,-79.3898226,John St
43.6447662,-79.3921899,Wellington St W
43.6447662,-79.3921899,Wellington St W
43.6462464,-79.3963377,Adelaide St W
43.6456455,-79.39997699999998,Adelaide St W
43.6434672,-79.3948775,Wellington St W
43.6462037,-79.392539,Peter St
43.6464679,-79.39751910000001,Adelaide St W
43.64574289999999,-79.40179719999998,Adelaide St W
43.6461214,-79.40102139999999,Portland St
43.6454458,-79.39235880000001,Blue Jays Way
43.6441791,-79.40184720000002,King St W
43.6458924,-79.39768620000001,Brant St
43.6467044,-79.3948201,Adelaide St W
43.6459114,-79.392225,Blue Jays Way
43.6450672,-79.39639799999998,King St W
43.645305,-79.3901141,Wellington St W
43.6451011,-79.39949690000003,King St W
43.6461617,-79.39126590000001,King St W
43.6457306,-79.39822579999998,Brant St
43.64643119999999,-79.40174480000002,Richmond St W
43.6450547,-79.39209040000003,Blue Jays Way
43.644488,-79.40238019999998,Bathurst St
43.645248,-79.40286050000003,Adelaide St W
43.64553919999999,-79.3906715,Mercer St
43.6441327,-79.40039239999999,King St W
43.6442605,-79.39153099999999,Blue Jays Way
43.6444801,-79.40054629999997,King St W
43.643567,-79.40103199999999,Stewart St
43.64640319999999,-79.39435409999999,Oxley St
43.645764,-79.40088320000001,Adelaide St W
43.6466222,-79.3903325,King St W
43.6457306,-79.39822579999998,Brant St
43.644801,-79.39512239999999,Spadina Ave
43.6456836,-79.40113070000001,Adelaide St W
43.6463293,-79.39244589999998,Peter St
43.6454496,-79.39632369999998,King St W
43.643581,-79.39385290000001,Clarence Square
43.64420339999999,-79.3951902,Wellington St W
43.6446224,-79.39407840000001,Clarence Square
